neigh,lot,budget,status,runtime_s,gap,y_price,y_price_out,y_log_in,y_log_out,cost,obj,floor1,floor2,area_1st,area_2nd,bsmt,beds,fullbath,halfbath,kitchen
Somerst,11556.0,500000.0,9,300.05399990081787,8.0254828407514,208348.3456722578,267052.15625,12.246920968697376,12.495203018188477,195216.8299999969,13131.515672260895,1.0,-0.0,450.0,0.0,383.99999999999676,2.0,1.0,-0.0,1.0
Somerst,7438.0,700000.0,9,300.2849998474121,83.3003896033777,204514.68443793125,264670.625,12.228155209922308,12.486245155334473,200710.32999999938,3804.3544379318773,1.0,-0.0,450.0,0.0,116.0,2.0,1.0,-0.0,1.0
Somerst,9434.0,700000.0,9,300.3199999332428,84.96280224005584,204514.68443793125,264670.625,12.228155209922308,12.486245155334473,200710.32999999938,3804.3544379318773,1.0,-0.0,450.0,0.0,116.0,2.0,1.0,-0.0,1.0
Somerst,11556.0,700000.0,9,300.289999961853,83.3003896033777,204514.68443793125,264670.625,12.228155209922308,12.486245155334473,200710.32999999938,3804.3544379318773,1.0,-0.0,450.0,0.0,116.0,2.0,1.0,-0.0,1.0
CollgCr,7438.0,200000.0,2,76.97199988365173,0.0006895003408137676,207259.63438384098,269094.0625,12.241591730623028,12.502820014953613,194479.32999999987,12780.30438384111,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
CollgCr,9434.0,200000.0,2,72.47500014305115,0.0006895003408137676,207259.63438384098,269094.0625,12.241591730623028,12.502820014953613,194479.32999999987,12780.30438384111,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
CollgCr,11556.0,200000.0,2,73.30000019073486,0.0006895003408137676,207259.63438384098,269094.0625,12.241591730623028,12.502820014953613,194479.32999999987,12780.30438384111,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
CollgCr,7438.0,500000.0,9,300.1210000514984,6.911619238302392,276176.6361601551,362939.90625,12.528591280417267,12.801995277404785,333872.5,-57695.86383984488,1.0,0.0,792.0,0.0,791.0,2.0,1.0,0.0,1.0
CollgCr,9434.0,500000.0,9,300.07800006866455,6.911619238302392,276176.6361601551,362939.90625,12.528591280417267,12.801995277404785,333872.5,-57695.86383984488,1.0,0.0,792.0,0.0,791.0,2.0,1.0,0.0,1.0
CollgCr,11556.0,500000.0,9,300.0700001716614,6.911619238302392,276176.6361601551,362939.90625,12.528591280417267,12.801995277404785,333872.5,-57695.86383984488,1.0,0.0,792.0,0.0,791.0,2.0,1.0,0.0,1.0
CollgCr,7438.0,700000.0,9,300.05200004577637,54.88271343363361,244130.3086960729,327998.875,12.40521661407029,12.70076847076416,249816.82999999938,-5686.521303926478,1.0,-0.0,470.0,0.0,470.0,2.0,1.0,-0.0,1.0
CollgCr,9434.0,700000.0,9,300.0550000667572,54.88271343363361,244130.3086960729,327998.875,12.40521661407029,12.70076847076416,249816.82999999938,-5686.521303926478,1.0,-0.0,470.0,0.0,470.0,2.0,1.0,-0.0,1.0
CollgCr,11556.0,700000.0,9,300.0569999217987,54.88271343363361,244130.3086960729,327998.875,12.40521661407029,12.70076847076416,249816.82999999938,-5686.521303926478,1.0,-0.0,470.0,0.0,470.0,2.0,1.0,-0.0,1.0
Edwards,7438.0,200000.0,2,62.95599985122681,0.0009344549997974831,212327.8543029027,266701.6875,12.265662471328644,12.493889808654785,197559.32999999987,14768.524302902835,1.0,0.0,450.0,0.0,384.00000000000006,2.0,1.0,0.0,1.0
Edwards,9434.0,200000.0,2,64.94299983978271,0.0009344549997974831,212327.8543029027,266701.6875,12.265662471328644,12.493889808654785,197559.32999999987,14768.524302902835,1.0,0.0,450.0,0.0,384.00000000000006,2.0,1.0,0.0,1.0
Edwards,11556.0,200000.0,2,62.86800003051758,0.0009344549997974831,212327.8543029027,266701.6875,12.265662471328644,12.493889808654785,197559.32999999987,14768.524302902835,1.0,0.0,450.0,0.0,384.00000000000006,2.0,1.0,0.0,1.0
Edwards,7438.0,500000.0,9,300.0420000553131,0.061014360116917056,212327.8543029059,266701.6875,12.26566247132866,12.493889808654785,197559.3299999996,14768.524302906299,1.0,-0.0,450.0,0.0,384.0,2.0,1.0,-0.0,1.0
Edwards,9434.0,500000.0,9,300.095999956131,0.061014360116917056,212327.8543029059,266701.6875,12.26566247132866,12.493889808654785,197559.3299999996,14768.524302906299,1.0,-0.0,450.0,0.0,384.0,2.0,1.0,-0.0,1.0
