,objective_mip,objective_mip,objective_mip,objective_mip,objective_mip,objective_mip,roi,roi,roi,roi,roi,roi,roi_pct,roi_pct,roi_pct,roi_pct,roi_pct,roi_pct,pct_net_improve,pct_net_improve,pct_net_improve,pct_net_improve,pct_net_improve,pct_net_improve,uplift_pct,uplift_pct,uplift_pct,uplift_pct,uplift_pct,uplift_pct,delta_price,delta_price,delta_price,delta_price,delta_price,delta_price,budget_used,budget_used,budget_used,budget_used,budget_used,budget_used
,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max,count,mean,median,std,min,max
No aplicames,42,68667.40642857143,68055.16500000001,10396.799659152579,56284.41,89441.27,42,68667.52380952382,68055.5,10396.752159930955,56284.0,89441.0,42,1792.0,1084.5,1552.2801167880784,258.0,5701.0,42,26.095238095238095,25.5,5.126733014829486,19.0,38.0,42,36.095238095238095,33.5,10.10628764393375,24.0,61.0,42,77042.21428571429,77929.0,17176.90014132809,57272.0,124101.0,42,8374.690476190477,6585.0,8064.947016647201,987.3600000000006,34660.0
NoRidge,3,167211.37,171315.9,14207.628962684104,151403.33,178914.88,3,167211.33333333334,171316.0,14207.876418850681,151403.0,178915.0,3,527.3333333333334,348.0,436.55965609906434,209.0,1025.0,3,30.333333333333332,31.0,5.033222956847167,25.0,35.0,3,44.333333333333336,45.0,10.016652800877813,34.0,54.0,3,217078.33333333334,220581.0,49252.500305399044,166168.0,264486.0,3,49866.986666666664,49265.0,35406.8183241665,14765.0,85570.95999999999
NridgHt,6,161860.35166666665,165958.6,37955.526955160254,93486.94,205399.16,6,161860.5,165959.0,37955.50855277795,93487.0,205399.0,6,507.8333333333333,349.0,385.0119045778542,144.0,994.0,6,35.0,36.0,8.366600265340756,24.0,47.0,6,55.333333333333336,56.0,20.02664891255316,32.0,87.0,6,217502.33333333334,219008.5,71899.61761697115,102904.0,299655.0,6,55641.948333333334,48829.125,42139.27642446862,9416.76,115916.76
OldTown,30,80814.27833333334,68699.915,27420.385269463193,54295.48,155655.59,30,80814.06666666667,68699.5,27420.524691191265,54295.0,155656.0,30,50905.63333333333,544.0,275604.00611740816,187.0,1510132.0,30,31.266666666666666,31.0,4.059330107239399,23.0,37.0,30,46.1,46.0,8.384509526501834,30.0,59.0,30,98571.86666666667,84526.5,38444.28109815586,58895.0,226008.0,30,17757.721666666668,13519.0,14471.005836414124,4.0,70352.26000000001
SWISU,6,68811.99166666665,68811.98,2987.8064681395776,66084.51,71539.52,6,68812.16666666667,68812.0,2987.4614251344997,66085.0,71540.0,6,453.5,453.5,43.27008204290812,414.0,493.0,6,32.5,32.5,1.6431676725154978,31.0,34.0,6,49.0,49.0,3.286335345030997,46.0,52.0,6,84043.16666666667,84043.0,2187.786499333666,82046.0,86041.0,6,15231.0,15231.0,799.6749339575425,14501.0,15961.0
Sawyer,24,69485.8575,63214.744999999995,17081.09810141767,47046.97,104575.15,24,69485.70833333333,63214.5,17081.127975377738,47047.0,104575.0,24,1678.1666666666667,1326.0,1396.037954718457,220.0,5033.0,24,27.041666666666668,24.5,5.512666573775634,20.0,37.0,24,37.833333333333336,32.5,10.84943062688251,25.0,58.0,24,76963.16666666667,69221.0,19398.12182227661,52762.0,113775.0,24,7477.418333333332,5404.34,7040.587711594677,1200.0,28200.0
SawyerW,33,110841.53212121212,104561.36,43189.034207659104,40102.02,198164.61,33,110841.57575757576,104561.0,43189.01941902471,40102.0,198165.0,33,1512.4242424242425,370.0,2831.508962001346,118.0,10154.0,33,30.78787878787879,32.0,7.983410830268508,14.0,43.0,33,46.333333333333336,47.0,16.293531436329776,17.0,76.0,33,143892.60606060605,140022.0,62882.903550935145,40497.0,273973.0,33,33051.06121212121,31180.0,27096.932608163734,394.9399999999987,90083.4
Somerst,12,128970.01,128469.42,22276.197870280525,85483.61,165279.77,12,128970.08333333333,128469.5,22276.212418624873,85484.0,165280.0,12,503.0,305.0,501.5742490127731,118.0,1914.0,12,32.583333333333336,34.5,6.2152061815186705,20.0,41.0,12,49.416666666666664,52.5,13.63457058918671,25.0,70.0,12,176032.25,173749.0,46673.748715028625,101625.0,240795.0,12,47062.24583333333,43608.99,32820.275767664905,6225.0,106546.08
StoneBr,12,124419.18416666666,118333.405,29107.984412890266,83083.15,180991.94,12,124419.08333333333,118333.0,29108.007247173675,83083.0,180992.0,12,400.0,280.5,264.56173020848854,140.0,838.0,12,30.083333333333332,31.0,6.612087187091302,19.0,40.0,12,44.333333333333336,44.5,13.553485518381232,24.0,67.0,12,172392.0,177619.5,57003.721181563706,95601.0,285171.0,12,47972.96833333333,47940.61,31548.073834809293,11480.42,104179.44
Timber,3,80024.0,80024.0,0.0,80024.0,80024.0,3,80024.0,80024.0,0.0,80024.0,80024.0,3,1392.0,1392.0,0.0,1392.0,1392.0,3,25.0,25.0,0.0,25.0,25.0,3,33.0,33.0,0.0,33.0,33.0,3,85773.0,85773.0,0.0,85773.0,85773.0,3,5749.0,5749.0,0.0,5749.0,5749.0
Veenker,3,72984.27666666667,73436.12,782.6242706646169,72080.58,73436.13,3,72984.33333333333,73436.0,782.309614751944,72081.0,73436.0,3,316.6666666666667,207.0,189.9482385633869,207.0,536.0,3,26.666666666666668,28.0,2.309401076758503,24.0,28.0,3,37.0,40.0,5.196152422706632,31.0,40.0,3,101111.0,108896.0,13484.015536923709,85541.0,108896.0,3,28126.666666666668,35460.0,12701.705922171766,13460.0,35460.0
