neigh,lot,budget,status,runtime_s,gap,y_price,y_price_out,y_log_in,y_log_out,cost,obj,floor1,floor2,area_1st,area_2nd,bsmt,beds,fullbath,halfbath,kitchen
Edwards,7438.0,250000.0,2,127.2590000629425,0.0,172241.42508369603,283167.0625,12.05643453718503,12.55379581451416,191477.0,-19235.574916303915,1.0,0.0,450.0,0.0,392.0,2.0,1.0,0.0,1.0
Edwards,9434.0,250000.0,2,140.40300011634827,0.0,172241.42508369603,283167.0625,12.05643453718503,12.55379581451416,191477.0,-19235.574916303915,1.0,0.0,450.0,0.0,392.0,2.0,1.0,0.0,1.0
Edwards,11556.0,250000.0,2,146.17400002479553,0.0,172241.42508369603,283167.0625,12.05643453718503,12.55379581451416,191477.0,-19235.574916303915,1.0,0.0,450.0,0.0,392.0,2.0,1.0,0.0,1.0
Edwards,7438.0,500000.0,9,300.047000169754,0.28012614152509524,172335.7611006179,283167.0625,12.056985844189768,12.55379581451416,191477.0,-19141.238899382093,1.0,0.0,450.0,0.0,392.0,2.0,1.0,0.0,1.0
Edwards,9434.0,500000.0,9,300.0720000267029,0.3176213254823943,172335.7611006179,283167.0625,12.056985844189768,12.55379581451416,191477.0,-19141.238899382093,1.0,0.0,450.0,0.0,392.0,2.0,1.0,0.0,1.0
Edwards,11556.0,500000.0,9,300.04299998283386,0.28012614152509524,172335.7611006179,283167.0625,12.056985844189768,12.55379581451416,191477.0,-19141.238899382093,1.0,0.0,450.0,0.0,392.0,2.0,1.0,0.0,1.0
Gilbert,7438.0,250000.0,2,195.72099995613098,0.0,174624.5251279983,287182.8125,12.070361558807162,12.567877769470215,192171.32999999987,-17546.80487200158,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Gilbert,9434.0,250000.0,2,178.20199990272522,0.0,174624.5251279983,287182.8125,12.070361558807162,12.567877769470215,192171.32999999987,-17546.80487200158,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Gilbert,11556.0,250000.0,2,176.63300013542175,0.0,174624.5251279983,287182.8125,12.070361558807162,12.567877769470215,192171.32999999987,-17546.80487200158,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
Gilbert,7438.0,500000.0,9,300.04900002479553,0.5399985679306583,174624.52513152844,287182.8125,12.070361558807294,12.567877769470215,192171.32999999973,-17546.804868471285,1.0,0.0,450.0,0.0,384.0,2.0,1.0,0.0,1.0
