neigh,lot,budget,status,runtime_s,gap,y_price,cost,obj,floor1,floor2,area_1st,area_2nd,bsmt,beds,fullbath,halfbath,kitchen
OldTown,6000.0,200000.0,2,59.361000061035156,0.0,305597.83856418775,199847.5,105750.33856418781,1.0,0.0,450.0,0.0,1218.0,2.0,1.0,0.0,2.0
OldTown,9000.0,200000.0,9,60.03800010681152,0.029635680381048565,305597.83856418775,199847.5,105750.33856418781,1.0,0.0,450.0,0.0,1218.0,2.0,1.0,0.0,2.0
OldTown,6000.0,300000.0,9,60.040000200271606,0.16696184735541236,348920.0515465935,223236.8300000003,125683.22154659318,1.0,-0.0,450.0,0.0,2136.000000000051,2.0,1.0,-0.0,2.0
OldTown,9000.0,300000.0,9,60.0479998588562,0.15889121947616566,349795.32136892027,223236.82999999987,126558.4913689204,1.0,0.0,450.0,0.0,2136.0,2.0,1.0,0.0,2.0
OldTown,6000.0,500000.0,9,60.02500009536743,1.484119958328172,339251.38735554635,217106.8299999997,122144.55735554665,1.0,-0.0,450.0,0.0,1642.0,2.0,1.0,0.0,2.0
OldTown,9000.0,500000.0,9,60.02999997138977,1.1038907368396382,339251.38735554635,217106.8299999997,122144.55735554665,1.0,-0.0,450.0,0.0,1642.0,2.0,1.0,0.0,2.0
Edwards,6000.0,200000.0,9,60.02799987792969,0.008317104964954082,305597.83856418775,199847.5,105750.33856418781,1.0,0.0,450.0,0.0,1218.0,2.0,1.0,0.0,2.0
Edwards,9000.0,200000.0,9,60.04100012779236,0.029323691994348793,305597.83856418775,199847.5,105750.33856418781,1.0,0.0,450.0,0.0,1218.0,2.0,1.0,0.0,2.0
Edwards,6000.0,300000.0,9,60.051000118255615,0.1401175130914855,353184.29247730674,224541.82999999978,128642.46247730695,1.0,-0.0,450.0,0.0,2223.0,2.0,1.0,0.0,2.0
Edwards,9000.0,300000.0,9,60.115999937057495,0.16569125640859272,349057.0449079024,223236.83,125820.21490790244,1.0,0.0,450.0,0.0,2136.0,2.0,1.0,0.0,2.0
Edwards,6000.0,500000.0,9,60.02800011634827,1.484119958328172,339251.38735554635,217106.8299999997,122144.55735554665,1.0,-0.0,450.0,0.0,1642.0,2.0,1.0,0.0,2.0
Edwards,9000.0,500000.0,9,60.05999994277954,1.484119958328172,339251.38735554635,217106.8299999997,122144.55735554665,1.0,-0.0,450.0,0.0,1642.0,2.0,1.0,0.0,2.0
