iteration,timestamp,r2,rmse,mae,mape,residual_skew,residual_kurtosis
1,2025-11-17T13:19:49,0.8643142301128193,45166.07131436886,25551.15698432225,9.149342866461225,1.1526024011289981,21.230486059922114
2,2025-11-17T13:19:50,0.9080527987778898,37180.431137774234,20610.205591464997,7.555036886218566,-1.6011147913080652,39.29074673092918
26,2025-11-17T13:20:11,0.9143938202807864,35875.4801755424,20225.085285171543,7.478650052753401,-1.5080013519706457,39.62520441364024
28,2025-11-17T13:20:13,0.9181766658215094,35073.87505202505,20477.102114020156,7.5917355870503,-0.9575695178975024,29.857148629662035
29,2025-11-17T13:20:15,0.9195036835203562,34788.296912167505,20178.004644838395,7.4585556321001985,-1.0793174157914207,29.54516418149072
34,2025-11-17T13:20:19,0.920596187031925,34551.41541752319,20426.020087647947,7.672223090070615,-0.3352774084355264,22.34273977125411
41,2025-11-17T13:20:29,0.9277923317450193,32948.58928756508,19701.36124716539,7.365930629336128,-0.8950651918449269,22.824767918301845
172,2025-11-17T13:23:44,0.9290096315763833,32669.679907983053,20021.16420827824,7.547462049521774,-0.6772371637905975,20.03437478433262
