budget,n,base_price_mean,base_price_median,base_price_p10,base_price_p90,base_price_std,opt_price_mean,opt_price_median,opt_price_p10,opt_price_p90,opt_price_std,cost_mean,cost_median,cost_p10,cost_p90,cost_std,net_gain_mean,net_gain_median,net_gain_p10,net_gain_p90,net_gain_std,net_gain_per_cost_mean,net_gain_per_cost_median,net_gain_per_cost_p10,net_gain_per_cost_p90,net_gain_per_cost_std,price_uplift_mean,price_uplift_median,price_uplift_p10,price_uplift_p90,price_uplift_std
20000.0,75.0,270895.9894791667,245250.828125,165304.72187500002,408062.98750000005,101780.24180752567,382600.31389696157,358491.23206923506,239315.50835881397,581966.8896515125,127176.94652264837,15893.781813333333,17910.0,7555.313600000003,19907.174399999996,4803.212391854889,95810.54260446156,96266.72379237373,53775.65463780112,138512.94565128896,37228.22519710747,6.699997691763864,5.7670296001335135,3.4466291840434597,9.58697573457367,4.560639410866383,1.4354614358419797,1.4230057299005154,1.2575969178433761,1.5956693644215185,0.14985348506340268
50000.0,75.0,270895.9894791667,245250.828125,165304.72187500002,408062.98750000005,101780.24180752567,405509.8353886258,366766.4653069787,264324.1694119386,604587.5074109031,135805.35080769268,31526.01085333333,34200.0,11839.337600000004,48784.77999999999,13126.56989420289,103087.8350561258,96266.72379237378,54258.38001878828,149615.29103054802,41030.9878391478,4.028164437532907,3.2708604346810963,1.9481584260935991,6.338329997168504,3.3112950057196673,1.5219298543222362,1.506893595219413,1.3014542763969712,1.7390428053498033,0.17744402022704972
100000.0,75.0,270895.9894791667,245250.828125,165304.72187500002,408062.98750000005,101780.24180752567,415877.31683787826,366766.4653069787,264324.16941193846,618463.6534386342,150564.78003689417,39676.15648,34990.0,11839.33759999998,79042.55839999998,24919.811412764044,105305.1708787116,96266.72379237378,54258.38001878829,155934.16922015298,44356.9783250936,3.7066420487316427,2.638934137615165,1.7065047303525387,6.338329997168503,3.4192349220388825,1.550402562114104,1.526089335687457,1.3099773470941058,1.8008909710984835,0.19102724208406804
