presupuesto,n,pid_unicos,objective_mean,roi_usd_mean,roi_pct_mean,precio_base_mean,precio_opt_mean,costo_medio,mejor_pid,neighborhood,roi_usd,objective_mip,precio_opt
15000.0,5,5,76678.914,76679.0,1597.2,235603.8,320792.8,8509.888,905426030,Edwards,115294.0,115294.14,487181.0
40000.0,5,5,78506.764,78506.8,951.6,235603.8,328560.6,14449.888,905426030,Edwards,117572.0,117571.62,508458.0
75000.0,5,5,78506.764,78506.8,951.6,235603.8,328560.6,14449.888,905426030,Edwards,117572.0,117571.62,508458.0
200000.0,5,5,78506.764,78506.8,951.6,235603.8,328560.6,14449.888,905426030,Edwards,117572.0,117571.62,508458.0
