iteration,timestamp,r2,rmse,mae,mape,residual_skew,residual_kurtosis
1,2025-11-17T17:49:30,0.8927844223976061,40148.942354016064,21700.704163984345,7.857911538075355,-2.0589416693665776,49.52462615023822
2,2025-11-17T17:49:31,0.910003082426325,36784.002360539205,20645.639583459815,7.5969941327830375,-1.4228395988760023,36.33008048195794
8,2025-11-17T17:49:37,0.9115902170084931,36458.20869437348,21081.27105064752,7.743662482200647,-0.495620583424151,29.563548431409487
31,2025-11-17T17:49:58,0.9168567349360871,35355.63990731916,20264.919235255118,7.450163319254361,-0.7198564694174696,28.345938843447122
59,2025-11-17T17:50:24,0.9195004728992059,34788.99067638577,20601.07356414798,7.701484581420937,-0.38970210861328325,26.12803569581972
101,2025-11-17T17:51:05,0.9297140036872709,32507.200281370457,19304.334877904388,7.272192206691859,-1.2679636306106117,28.040386404406732
116,2025-11-17T17:51:28,0.9315902132575974,32070.393049727805,19639.801784289797,7.401083717000395,-0.7034204904082917,18.69278771129072
