R2_xgb,R2_reg,RMSE_xgb,RMSE_reg,MAE_xgb,MAE_reg,MAPE_xgb,MAPE_reg,rep,fold,pct_xgb_wins,mean_abs_err_xgb,mean_abs_err_reg,mean_abs_err_diff
0.9415504956504629,0.8997335444481102,27614.54332072426,36168.06549339831,17785.383440541027,24042.599876595457,7.295410742488227,10.172092574222157,1,1,62.116040955631405,17785.383440541027,24042.599876595457,6257.21643605443
0.941868173279561,0.7446514627047988,28447.459448428337,59621.53994181499,18297.809197169296,26564.69999689583,7.370289435208221,10.77089196137188,1,2,59.589041095890416,18297.809197169296,26564.69999689583,8266.890799726534
0.9441982435189357,0.934006712404098,30226.186076202666,32870.726204074424,20323.156074546838,22943.821868278857,7.677083990666402,9.232103636996293,1,3,56.16438356164384,20323.156074546838,22943.821868278857,2620.6657937320197
0.9291296535081108,0.8840101587836722,32628.521142569087,41742.176410469525,21039.588229344863,26425.0176443165,7.857232306743339,10.379714522746832,1,4,59.24657534246576,21039.588229344863,26425.0176443165,5385.429414971637
0.9401857126779491,0.9317672790485734,32377.004057094186,34580.44187888924,19040.887140543953,22822.19461831175,9.382612893460085,11.407682220856962,1,5,56.5068493150685,19040.887140543953,22822.19461831175,3781.3074777677975
0.9100668091381713,0.8876246868814925,39458.684411338,44108.07024032784,21229.16289551127,24549.952219266626,7.779426270978496,9.076222471025229,1,6,56.5068493150685,21229.16289551127,24549.952219266626,3320.789323755358
0.9371350561851985,0.9131523408105777,27201.85868146085,31972.26271254356,17510.31724627387,21647.721520777694,6.975755307396084,8.787639507122474,1,7,60.273972602739725,17510.31724627387,21647.721520777694,4137.404274503824
0.8497786446855484,0.5349507173706374,46583.99961850661,81963.48672041905,24031.45547490285,31996.937535500372,9.077242368041524,12.24313848404625,1,8,58.56164383561644,24031.45547490285,31996.937535500372,7965.482060597522
0.9502976780219597,0.9375236388849528,24915.66240272519,27934.56814348588,17473.53339354909,21131.947244737814,7.031823233979033,8.779025023417805,1,9,59.93150684931506,17473.53339354909,21131.947244737814,3658.413851188725
0.948153948541036,0.9254911276527616,29755.113026588224,35670.38167405658,19103.652185549792,23690.92841224021,7.161788332656156,8.752198575474443,1,10,57.87671232876712,19103.652185549792,23690.92841224021,4587.276226690417
0.9249767135820329,0.9132876224261002,34133.689253469216,36696.59216448382,20269.508237743667,23678.74514473734,7.8639209708846085,9.16944051276153,2,1,59.044368600682596,20269.508237743667,23678.74514473734,3409.236906993672
0.8981448914485628,0.7800570824976056,38796.41575226877,57010.544316204294,19496.209469067286,25890.783084847084,7.478173321601582,10.468340611012634,2,2,59.93150684931506,19496.209469067286,25890.783084847084,6394.573615779798
0.9495261347393119,0.928623939268527,27658.94732484455,32891.1192954045,17147.617041057863,22234.153164002557,6.832494731949239,8.93428782466982,2,3,59.93150684931506,17147.617041057863,22234.153164002557,5086.5361229446935
0.9317708469612689,0.8955481957668187,30694.20967344452,37977.76811301084,21524.93564936358,24867.164345545567,8.701472754292801,9.823482482687286,2,4,54.45205479452054,21524.93564936358,24867.164345545567,3342.228696181988
0.9288669962012722,0.9185971936757127,33186.904661119595,35501.83997736323,21538.98775031146,24237.442968852258,8.678436768180713,9.672570031612505,2,5,57.534246575342465,21538.98775031146,24237.442968852258,2698.4552185407993
0.9341790779654404,0.7792762183664478,34825.63212618327,63773.69661331159,20677.475321873284,26514.128198010898,9.089996917142837,12.380218347380712,2,6,57.1917808219178,20677.475321873284,26514.128198010898,5836.652876137614
0.9343998987327853,0.9045279381282411,29537.404435992892,35633.47898104107,19954.89888728967,24472.16646042329,7.509231812596479,9.529864584425015,2,7,57.87671232876712,19954.89888728967,24472.16646042329,4517.26757313362
0.9342769915637138,0.9155218160366092,29005.111092140523,32884.26205094831,17978.677836666462,23208.98190863691,7.106205368484608,10.339070892748225,2,8,59.589041095890416,17978.677836666462,23208.98190863691,5230.304071970448
0.9400407253331503,0.6591120951074696,29728.34450622586,70884.01943993488,18457.74849808302,26744.124118923868,7.498122948621735,10.956139725854525,2,9,59.24657534246576,18457.74849808302,26744.124118923868,8286.375620840849
0.9568093440238665,0.9205672613617258,25607.016682989382,34726.72696270295,17155.185035945262,21934.860563951584,6.671012184297117,8.680669166821502,2,10,57.87671232876712,17155.185035945262,21934.860563951584,4779.675528006323
0.9257244430086468,0.8398971907899591,38221.86816922845,56116.22239737837,23067.19800993101,29187.800474370033,8.556145060072847,11.466921400922091,3,1,58.36177474402731,23067.19800993101,29187.800474370033,6120.602464439024
0.9445466798840861,0.9092586661124694,26844.74206620264,34339.82188870558,17753.749939563742,23743.214091662743,7.533782067846683,10.058503372043122,3,2,60.95890410958904,17753.749939563742,23743.214091662743,5989.464152099001
0.9489529949195284,0.9414152389323278,28570.729326500048,30607.546975516474,17224.725076333518,21359.531542980098,6.679889383310322,8.547658577579151,3,3,58.21917808219178,17224.725076333518,21359.531542980098,4134.80646664658
0.887232243147958,0.8953999121719388,45350.664372904546,43677.44318797716,22484.973071217584,24593.80706511146,8.913023179463066,9.835376429132545,3,4,56.5068493150685,22484.973071217584,24593.80706511146,2108.833993893877
0.9413449281161926,0.900984766413032,26620.83506061624,34587.55773495578,18566.76018269311,23944.11185585394,7.405483616154997,9.78913751887152,3,5,56.5068493150685,18566.76018269311,23944.11185585394,5377.351673160829
0.9250656647310753,0.8835768130769965,33012.54914696034,41148.91353118866,21108.620512931,24710.497791793496,8.242287557714398,9.704944717414879,3,6,57.534246575342465,21108.620512931,24710.497791793496,3601.8772788624956
